"","year","semi_final","semi_draw_position","final_draw_position","country","artist_name","song_name","language","style","gender","main_singers","final_televote_points","final_jury_points","final_televote_votes","final_jury_votes","final_place"
"157",2019,"-","-","26","Spain","Miki","La Venda","Spanish","Pop","Male",1,53,1,12,1,22
"158",2018,"1","1","-","Azerbaijan","Aisel","X My Heart","English","Pop","Female",1,NA,NA,NA,NA,NA
"159",2018,"1","2","-","Iceland","Ari Olafsson","Our Choice","English","Ballad","Male",1,NA,NA,NA,NA,NA
"160",2018,"1","3","12","Albania","Eugent Bushpepa","Mall","Albanian","Rock","Male",4,58,126,8,20,11
"161",2018,"1","4","-","Belgium","Sennek","A Matter of Time","English","Pop","Female",1,NA,NA,NA,NA,NA
"162",2018,"1","5","14","Czech Republic","Mikolas Josef","Lie to Me","English","Pop","Male",1,215,66,35,16,6
"163",2018,"1","6","4","Lithuania","Ieva Zasimauskaite","When We're Old","English","Ballad","Female",1,91,90,11,17,12
"164",2018,"1","7","22","Israel","Netta","Toy","English","Pop","Female",1,317,212,39,34,1
"165",2018,"1","8","-","Belarus","Alekseev","Forever","English","Ballad","Male",1,NA,NA,NA,NA,NA
"166",2018,"1","9","6","Estonia","Elina Nechayeva","La forza","Italian","Opera","Female",1,102,143,19,26,8
"167",2018,"1","10","18","Bulgaria","Equinox","Bones","English","Pop","Mix",5,66,100,15,18,14
"168",2018,"1","11","-","North Macedonia","Eye Cue","Lost and Found","English","Pop","Female",1,NA,NA,NA,NA,NA
"169",2018,"1","12","-","Croatia","Franka","Crazy","English","Pop","Female",1,NA,NA,NA,NA,NA
"170",2018,"1","13","5","Austria","Cesar Sampson","Nobody but You","English","Pop","Male",1,71,271,18,34,3
"171",2018,"1","14","-","Greece","Yianna Terzi","Oniro mou","Greek","Pop","Female",1,NA,NA,NA,NA,NA
"172",2018,"1","15","17","Finland","Saara Aalto","Monsters","English","Pop","Female",1,23,23,4,6,25
"173",2018,"1","16","-","Armenia","Sevak Khanagyan","Qami","Armenian","Pop","Male",1,NA,NA,NA,NA,NA
"174",2018,"1","17","-","Switzerland","ZiBBZ","Stones","English","Pop","Female",1,NA,NA,NA,NA,NA
"175",2018,"1","18","24","Ireland","Ryan O'Shaughnessy","Together","English","Traditional","Male",1,62,74,14,19,16
"176",2018,"1","19","25","Cyprus","Eleni Foureira","Fuego","English","Pop","Female",1,253,183,42,27,2
"177",2018,"2","1","7","Norway","Alexander Rybak","That's How You Write a Song","English","Pop","Male",1,84,60,18,12,15
"178",2018,"2","2","-","Romania","The Humans","Goodbye","English","Pop","Female",1,NA,NA,NA,NA,NA
"179",2018,"2","3","10","Serbia","Sanja Ilic & Balkanika","Nova deca","Serbian","Traditional","Mix",2,75,38,9,6,19
"180",2018,"2","4","-","San Marino","Jessika feat. Jenifer Brening","Who We Are","English","Pop","Female",1,NA,NA,NA,NA,NA
"181",2018,"2","5","15","Denmark","Rasmussen","Higher Ground","English","Traditional","Male",1,188,38,32,8,9
"182",2018,"2","6","-","Russia","Julia Samoylova","I Won't Break","English","Pop","Female",1,NA,NA,NA,NA,NA
"183",2018,"2","7","19","Moldova","DoReDoS","My Lucky Day","English","Pop","Mix",3,115,94,23,13,10
"184",2018,"2","8","23","Netherlands","Waylon","Outlaw in 'Em","English","Rock","Male",1,32,89,7,18,18
"185",2018,"2","9","16","Australia","Jessica Mauboy","We Got Love","English","Pop","Female",1,9,90,3,17,20
"186",2018,"2","10","-","Georgia","Ethno-Jazz Band Iriao","For You","Georgian","Pop","Male",3,NA,NA,NA,NA,NA
"187",2018,"2","11","-","Poland","Gromee feat. Lukas Meijer","Light Me Up","English","Dance","Male",1,NA,NA,NA,NA,NA
"188",2018,"2","12","-","Malta","Christabelle","Taboo","English","Pop","Female",1,NA,NA,0,0,NA
"189",2018,"2","13","21","Hungary","AWS","Viszlat nyar","Hungarian","Rock","Male",1,65,28,15,7,21
"190",2018,"2","14","-","Latvia","Laura Rizzotto","Funny Girl","English","Pop","Female",1,NA,NA,NA,NA,NA
"191",2018,"2","15","20","Sweden","Benjamin Ingrosso","Dance You Off","English","Pop","Male",1,21,253,7,35,7
"192",2018,"2","16","-","Montenegro","Vanja Radovanovic","Inje","Montenegrin","Rock","Male",1,NA,NA,NA,NA,NA
"193",2018,"2","17","3","Slovenia","Lea Sirk","Hvala, ne!","Slovene","Pop","Female",1,23,41,4,12,22
"194",2018,"2","18","1","Ukraine","Melovin","Under the Ladder","English","Dance","Male",1,119,11,18,2,17
"195",2018,"-","-","8","Portugal","Claudia Pascoal","O jardim","Portuguese","Pop","Female",1,18,21,2,5,26
"196",2018,"-","-","9","United Kingdom","SuRie","Storm","English","Pop","Female",1,25,23,7,6,24
"197",2018,"-","-","11","Germany","Michael Schulte","You Let Me Walk Alone","English","Pop","Male",1,136,204,29,30,4
"198",2018,"-","-","13","France","Madame Monsieur","Mercy","French","Pop","Female",1,59,114,13,21,13
"199",2018,"-","-","26","Italy","Ermal Meta & Fabrizio Moro","Non mi avete fatto niente","Italian","Pop","Male",2,249,59,35,11,5
"200",2018,"-","-","2","Spain","Amaia & Alfred","Tu canciOn","Spanish","Pop","Mix",2,18,43,3,10,23
"201",2017,"1","1","24","Sweden","Robin Bengtsson","I Can't Go On","English","Pop","Male",1,126,218,35,33,5
"202",2017,"1","2","-","Georgia","Tamara Gachechiladze","Keep the Faith","English","Pop","Female",1,NA,NA,NA,NA,NA
"203",2017,"1","3","14","Australia","Isaiah","Don't Come Easy","English","Pop","Male",1,2,171,1,29,9
"204",2017,"1","4","-","Albania","Lindita","World","English","Pop","Female",1,NA,NA,NA,NA,NA
"205",2017,"1","5","23","Belgium","Blanche","City Lights","English","Pop","Female",1,255,108,40,21,4
"206",2017,"1","6","-","Montenegro","Slavko Kalezic","Space","English","Pop","Male",1,NA,NA,NA,NA,NA
"207",2017,"1","7","-","Finland","Norma John","Blackbird","English","Ballad","Female",1,NA,NA,NA,NA,NA
"208",2017,"1","8","12","Azerbaijan","Dihaj","Skeletons","English","Pop","Female",1,42,78,6,14,14
"209",2017,"1","9","11","Portugal","Salvador Sobral","Amar pelos dois","Portuguese","Ballad","Male",1,376,382,41,39,1
"210",2017,"1","10","15","Greece","Demy","This Is Love","English","Pop","Female",1,29,48,6,7,19
"211",2017,"1","11","2","Poland","Kasia Mos","Flashlight","English","Pop","Female",1,41,23,11,7,22
"212",2017,"1","12","7","Moldova","Sunstroke Project","Hey, Mamma!","English","Dance","Male",1,264,110,38,19,3
"213",2017,"1","13","-","Iceland","Svala","Paper","English","Pop","Female",1,NA,NA,NA,NA,NA
"214",2017,"1","14","-","Czech Republic","Martina Barta","My Turn","English","Pop","Female",1,NA,NA,NA,NA,NA
"215",2017,"1","15","19","Cyprus","Hovig","Gravity","English","Pop","Male",1,32,36,6,7,21
"216",2017,"1","16","5","Armenia","Artsvik","Fly with Me","English","Pop","Female",1,21,58,5,16,18
"217",2017,"1","17","-","Slovenia","Omar Naber","On My Way","English","Ballad","Male",1,NA,NA,NA,NA,NA
"218",2017,"1","18","-","Latvia","Triana Park","Line","English","Pop","Female",1,NA,NA,NA,NA,NA
"219",2017,"2","1","-","Serbia","Tijana Bogicevic","In Too Deep","English","Pop","Female",1,NA,NA,NA,NA,NA
"220",2017,"2","2","4","Austria","Nathan Trent","Running on Air","English","Pop","Male",1,0,93,0,24,16
"221",2017,"2","3","-","North Macedonia","Jana Burceska","Dance Alone","English","Pop","Female",1,NA,NA,NA,NA,NA
"222",2017,"2","4","-","Malta","Claudia Faniello","Breathlessly","English","Ballad","Female",1,NA,NA,NA,NA,NA
"223",2017,"2","5","20","Romania","Ilinca ft. Alex Florea","Yodel It!","English","Pop","Mix",2,224,58,38,11,7
"224",2017,"2","6","6","Netherlands","O'G3NE","Lights and Shadows","English","Pop","Female",3,15,135,5,25,11
"225",2017,"2","7","8","Hungary","Joci Papai","Origo","Hungarian","Traditional","Male",1,152,48,33,10,8
"226",2017,"2","8","10","Denmark","Anja","Where I Am","English","Pop","Female",1,8,69,1,14,20
"227",2017,"2","9","-","Ireland","Brendan Murray","Dying to Try","English","Ballad","Male",1,NA,NA,NA,NA,NA
"228",2017,"2","10","-","San Marino","Valentina Monetta and Jimmie Wilson","Spirit of the Night","English","Pop","Mix",2,NA,NA,NA,NA,NA
"229",2017,"2","11","13","Croatia","Jacques Houdek","My Friend","English, Italian","Opera","Male",1,103,25,21,6,13
"230",2017,"2","12","17","Norway","JOWST","Grab the Moment","English","Pop","Male",1,29,129,8,24,10
"231",2017,"2","13","-","Switzerland","Timebelle","Apollo","English","Pop","Female",1,NA,NA,NA,NA,NA
"232",2017,"2","14","3","Belarus","Naviband","Story of My Life","Belarusian","Pop","Mix",2,33,50,9,11,17
"233",2017,"2","15","25","Bulgaria","Kristian Kostov","Beautiful Mess","English","Pop","Male",1,337,278,41,38,2
"234",2017,"2","16","-","Lithuania","Fusedmarc","Rain of Revolution","English","Pop","Female",1,NA,NA,NA,NA,NA
"235",2017,"2","17","-","Estonia","Koit Toome and Laura","Verona","English","Pop","Mix",2,NA,NA,NA,NA,NA
"236",2017,"2","18","1","Israel","IMRI","I Feel Alive","English","Pop","Male",1,5,34,3,8,23
"237",2017,"-","-","9","Italy","Francesco Gabbani","Occidentali's Karma","Italian","Pop","Male",1,208,126,36,20,6
"238",2017,"-","-","16","Spain","Manel Navarro","Do It for Your Lover","Spanish, English","Pop","Male",1,5,0,1,0,26
"239",2017,"-","-","18","United Kingdom","Lucie Jones","Never Give Up on You","English","Ballad","Female",1,12,99,4,21,15
"240",2017,"-","-","21","Germany","Levina","Perfect Life","English","Pop","Female",1,3,3,1,1,25
"241",2017,"-","-","22","Ukraine","O.Torvald","Time","English","Rock","Male",1,24,12,6,3,24
"242",2017,"-","-","26","France","Alma","Requiem","French, English","Pop","Female",1,90,45,24,12,12
